id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
0,Scott Andrews,Avalon
1,Matt Crowder,Avalon
2,Randy Wayne Dawe,Avalon
3,Matthew Martin Fuchs,Avalon
4,Fabian Manning,Avalon
5,Clyde Bridger,Bonavista--Gander--Grand Falls--Windsor
6,Aaron Hynes,Bonavista--Gander--Grand Falls--Windsor
7,Robyn Kenny,Bonavista--Gander--Grand Falls--Windsor
8,Scott Simms,Bonavista--Gander--Grand Falls--Windsor
9,Wayne R. Bennett,Humber--St. Barbe--Baie Verte
10,Gerry Byrne,Humber--St. Barbe--Baie Verte
11,Robin Blair Gosse,Humber--St. Barbe--Baie Verte
12,Shelley Senior,Humber--St. Barbe--Baie Verte
13,Trevor Taylor,Humber--St. Barbe--Baie Verte
14,George C.R. Barrett,Labrador
15,Jacob Larkin,Labrador
16,Peter Penashue,Labrador
17,Todd Russell,Labrador
18,Judy Foote,Random--Burin--St. George's
19,Tanya Gutmanis,Random--Burin--St. George's
20,Stella Magalios,Random--Burin--St. George's
21,John Ottenheimer,Random--Burin--St. George's
22,John Allan,St. John's East
23,Jerry Byrne,St. John's East
24,Jack Harris,St. John's East
25,Robert Miller,St. John's East
26,Rick Austin,St. John's South--Mount Pearl
27,Ryan Cleary,St. John's South--Mount Pearl
28,Siobhan Coady,St. John's South--Mount Pearl
29,Loyola Sullivan,St. John's South--Mount Pearl
30,Lorne Cudmore,Cardigan
31,Mike Currie,Cardigan
32,Lawrence MacAulay,Cardigan
33,Leslie Stewart,Cardigan
34,Joe Byrne,Charlottetown
35,Sean Casey,Charlottetown
36,Baird Judson,Charlottetown
37,Eliza Knockwood,Charlottetown
38,Donna Profit,Charlottetown
39,Carl Anthony Arnold,Egmont
40,Guy Gallant,Egmont
41,Jacquie Robichaud,Egmont
42,Gail Shea,Egmont
43,Peter Bevan-Baker,Malpeque
44,Wayne Easter,Malpeque
45,Rita Jackson,Malpeque
46,Tim Ogilvie,Malpeque
47,Glen Carabin,Cape Breton--Canso
48,Rodger Cuzner,Cape Breton--Canso
49,Derrick Clarence Kennedy,Cape Breton--Canso
50,Marney Jeanne Simmons,Cape Breton--Canso
51,Matthew Chisholm,Central Nova
52,John R. Hamilton,Central Nova
53,Peter G. MacKay,Central Nova
54,David K. Parker,Central Nova
55,Robert Chisholm,Dartmouth--Cole Harbour
56,Mike Savage,Dartmouth--Cole Harbour
57,Paul Shreenan,Dartmouth--Cole Harbour
58,Wanda Webber,Dartmouth--Cole Harbour
59,Michael Dewar,Halifax
60,Stan Kutcher,Halifax
61,Megan Leslie,Halifax
