Electoral District Number / No. de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	Candidate's Initial / Initiale du candidat	Confirmation Date / Date de confirmation
10001	Avalon	Avalon	Liberal	Libéral	Efford	R. John		2/6/04 9:15
10001	Avalon	Avalon	N.D.P.	N.P.D.	Kehoe	Michael		4/6/04 17:42
10001	Avalon	Avalon	Green Party	Parti Vert	Ferguson	Don	C.	4/6/04 18:56
10001	Avalon	Avalon	Conservative	conservateur	Dalton	Rick		4/6/04 13:10
10002	Bonavista--Exploits	Bonavista--Exploits	Liberal	Libéral	Simms	Scott		28/05/2004 12:03:00
10002	Bonavista--Exploits	Bonavista--Exploits	Independent	Indépendant	Lannon	John		4/6/04 17:55
10002	Bonavista--Exploits	Bonavista--Exploits	Conservative	conservateur	Barnes	Rex		1/6/04 14:40
10002	Bonavista--Exploits	Bonavista--Exploits	Green Party	Parti Vert	White	Ed Sailor		1/6/04 16:30
10002	Bonavista--Exploits	Bonavista--Exploits	N.D.P.	N.P.D.	McLean	Samuel	Robert	5/6/04 17:25
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Liberal	Libéral	Byrne	Gerry		27/05/2004 20:23:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	N.D.P.	N.P.D.	Pike	Holly		4/6/04 13:06
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Conservative	conservateur	Downer	Wynanne		27/05/2004 19:42:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Green Party	Parti Vert	Durant	Steve		7/6/04 9:50
10004	Labrador	Labrador	Liberal	Libéral	O'Brien	Lawrence	David	29/05/2004 13:20:00
10004	Labrador	Labrador	Green Party	Parti Vert	Martino	Lori-Ann		4/6/04 16:00
10004	Labrador	Labrador	N.D.P.	N.P.D.	Crann	Shawn		6/6/04 14:35
10004	Labrador	Labrador	Conservative	conservateur	Strachan	Merrill		7/6/04 12:48
10004	Labrador	Labrador	Independent	Indépendant	Condon	Ern		7/6/04 16:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Liberal	Libéral	Matthews	Bill		28/05/2004 10:45:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Green Party	Parti Vert	Dollimont	Justin		1/6/04 14:15
10005	Random--Burin--St. George's	Random--Burin--St. George's	Conservative	conservateur	Peckford	Larry		1/6/04 17:55
10005	Random--Burin--St. George's	Random--Burin--St. George's	N.D.P.	N.P.D.	McGrath	Des		3/6/04 12:07
10006	St. John's North	St. John's-Nord	Liberal	Libéral	Noel	Walter		31/05/2004 16:28:00
10006	St. John's North	St. John's-Nord	Conservative	conservateur	Doyle	Norman	E	31/05/2004 16:26:00
10006	St. John's North	St. John's-Nord	Green Party	Parti Vert	Vokey	Scott		7/6/04 13:59
10006	St. John's North	St. John's-Nord	N.D.P.	N.P.D.	Piller	Janine		3/6/04 14:15
10007	St. John's South	St. John's-Sud	Liberal	Libéral	Coady	Siobhan		31/05/2004 16:02:00
10007	St. John's South	St. John's-Sud	Conservative	conservateur	Hearn	Loyola		29/05/2004 15:14:00
10007	St. John's South	St. John's-Sud	N.D.P.	N.P.D.	Norman	Peg		28/05/2004 19:45:00
10007	St. John's South	St. John's-Sud	Green Party	Parti Vert	Willcott	Stephen	Daniel	6/6/04 12:24
11001	Cardigan	Cardigan	Liberal	Libéral	MacAulay	Lawrence		31/05/2004 17:15:00
11001	Cardigan	Cardigan	N.D.P.	N.P.D.	MacKinnon	Dave		2/6/04 15:00
