Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10001	Avalon	Avalon	Liberal Party of Canada	Parti libéral du Canada	Andrews	Scott		(709) 240-0970	06-Apr-2011	08:45:00
10001	Avalon	Avalon	Green Party of Canada	Le Parti Vert du Canada	Crowder	Matt			11-Apr-2011	03:20:00
10001	Avalon	Avalon	Independent	Indépendant	Dawe	Randy Wayne			11-Apr-2011	03:25:00
10001	Avalon	Avalon	New Democratic Party	Nouveau Parti démocratique	Fuchs	Matthew Martin			01-Apr-2011	06:40:00
10001	Avalon	Avalon	Conservative Party of Canada	Parti conservateur du Canada	Manning	Fabian		(709) 229-0991	01-Apr-2011	06:35:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	New Democratic Party	Nouveau Parti démocratique	Bridger	Clyde			06-Apr-2011	11:15:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Conservative Party of Canada	Parti conservateur du Canada	Hynes	Aaron			05-Apr-2011	11:00:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Green Party of Canada	Le Parti Vert du Canada	Kenny	Robyn			09-Apr-2011	05:30:00
10002	Bonavista--Gander--Grand Falls--Windsor	Bonavista--Gander--Grand Falls--Windsor	Liberal Party of Canada	Parti libéral du Canada	Simms	Scott			06-Apr-2011	04:00:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Independent	Indépendant	Bennett	Wayne R.			11-Apr-2011	05:00:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Liberal Party of Canada	Parti libéral du Canada	Byrne	Gerry		(709) 639-2011	31-Mar-2011	05:30:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Green Party of Canada	Le Parti Vert du Canada	Gosse	Robin Blair			11-Apr-2011	04:20:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	New Democratic Party	Nouveau Parti démocratique	Senior	Shelley			02-Apr-2011	05:15:00
10003	Humber--St. Barbe--Baie Verte	Humber--St. Barbe--Baie Verte	Conservative Party of Canada	Parti conservateur du Canada	Taylor	Trevor			06-Apr-2011	01:10:00
10004	Labrador	Labrador	Green Party of Canada	Le Parti Vert du Canada	Barrett	George C.R.			08-Apr-2011	03:30:00
10004	Labrador	Labrador	New Democratic Party	Nouveau Parti démocratique	Larkin	Jacob			06-Apr-2011	09:00:00
10004	Labrador	Labrador	Conservative Party of Canada	Parti conservateur du Canada	Penashue	Peter		(709) 896-7349	07-Apr-2011	04:00:00
10004	Labrador	Labrador	Liberal Party of Canada	Parti libéral du Canada	Russell	Todd		(709) 896-8814	01-Apr-2011	05:20:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Liberal Party of Canada	Parti libéral du Canada	Foote	Judy		(709) 832-0610	11-Apr-2011	09:45:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Green Party of Canada	Le Parti Vert du Canada	Gutmanis	Tanya			11-Apr-2011	10:25:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	New Democratic Party	Nouveau Parti démocratique	Magalios	Stella			06-Apr-2011	07:50:00
10005	Random--Burin--St. George's	Random--Burin--St. George's	Conservative Party of Canada	Parti conservateur du Canada	Ottenheimer	John			07-Apr-2011	02:09:00
10006	St. John's East	St. John's-Est	Liberal Party of Canada	Parti libéral du Canada	Allan	John		(709) 725-3474	05-Apr-2011	08:35:00
10006	St. John's East	St. John's-Est	Conservative Party of Canada	Parti conservateur du Canada	Byrne	Jerry		(709) 726-6363	05-Apr-2011	09:49:00
10006	St. John's East	St. John's-Est	New Democratic Party	Nouveau Parti démocratique	Harris	Jack		(709) 752-5225	31-Mar-2011	03:07:00
10006	St. John's East	St. John's-Est	Green Party of Canada	Le Parti Vert du Canada	Miller	Robert			03-Apr-2011	01:14:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Green Party of Canada	Le Parti Vert du Canada	Austin	Rick		(709) 781-1341	11-Apr-2011	11:42:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	New Democratic Party	Nouveau Parti démocratique	Cleary	Ryan		(709) 753-7471	31-Mar-2011	07:15:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Liberal Party of Canada	Parti libéral du Canada	Coady	Siobhan		(709) 368-8683	31-Mar-2011	06:40:00
10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	Conservative Party of Canada	Parti conservateur du Canada	Sullivan	Loyola		(709) 368-0016	31-Mar-2011	08:15:00
11001	Cardigan	Cardigan	New Democratic Party	Nouveau Parti démocratique	Cudmore	Lorne		(902) 651-2180	05-Apr-2011	05:30:00
11001	Cardigan	Cardigan	Conservative Party of Canada	Parti conservateur du Canada	Currie	Mike		(902) 838-2883	01-Apr-2011	05:45:00
11001	Cardigan	Cardigan	Liberal Party of Canada	Parti libéral du Canada	MacAulay	Lawrence		(902) 361-3200	05-Apr-2011	12:50:00
11001	Cardigan	Cardigan	Green Party of Canada	Le Parti Vert du Canada	Stewart	Leslie		(902) 962-3918	01-Apr-2011	06:45:00
11002	Charlottetown	Charlottetown	New Democratic Party	Nouveau Parti démocratique	Byrne	Joe		(902) 620-1051	02-Apr-2011	10:30:00
11002	Charlottetown	Charlottetown	Liberal Party of Canada	Parti libéral du Canada	Casey	Sean		(902) 370-3470	02-Apr-2011	04:00:00
11002	Charlottetown	Charlottetown	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Judson	Baird			09-Apr-2011	12:45:00
11002	Charlottetown	Charlottetown	Green Party of Canada	Le Parti Vert du Canada	Knockwood	Eliza		(902) 940-9343	11-Apr-2011	09:30:00
11002	Charlottetown	Charlottetown	Conservative Party of Canada	Parti conservateur du Canada	Profit	Donna		(902) 894-8679	04-Apr-2011	02:30:00
11003	Egmont	Egmont	Green Party of Canada	Le Parti Vert du Canada	Arnold	Carl Anthony		(902) 621-0489	05-Apr-2011	05:20:00
11003	Egmont	Egmont	Liberal Party of Canada	Parti libéral du Canada	Gallant	Guy		(902) 724-3272	06-Apr-2011	03:40:00
11003	Egmont	Egmont	New Democratic Party	Nouveau Parti démocratique	Robichaud	Jacquie		(902) 394-2283	07-Apr-2011	05:35:00
11003	Egmont	Egmont	Conservative Party of Canada	Parti conservateur du Canada	Shea	Gail		(902) 436-4370	01-Apr-2011	10:55:00
11004	Malpeque	Malpeque	Green Party of Canada	Le Parti Vert du Canada	Bevan-Baker	Peter		(902) 658-2741	02-Apr-2011	03:45:00
11004	Malpeque	Malpeque	Liberal Party of Canada	Parti libéral du Canada	Easter	Wayne		(902) 626-5960	02-Apr-2011	11:30:00
11004	Malpeque	Malpeque	New Democratic Party	Nouveau Parti démocratique	Jackson	Rita		(902) 730-2052	05-Apr-2011	04:08:00
11004	Malpeque	Malpeque	Conservative Party of Canada	Parti conservateur du Canada	Ogilvie	Tim			05-Apr-2011	01:30:00
12001	Cape Breton--Canso	Cape Breton--Canso	Green Party of Canada	Le Parti Vert du Canada	Carabin	Glen		(902) 849-9318	09-Apr-2011	01:30:00
12001	Cape Breton--Canso	Cape Breton--Canso	Liberal Party of Canada	Parti libéral du Canada	Cuzner	Rodger		(902) 849-8683	30-Mar-2011	09:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	Conservative Party of Canada	Parti conservateur du Canada	Kennedy	Derrick Clarence		(902) 849-8679	02-Apr-2011	03:00:00
12001	Cape Breton--Canso	Cape Breton--Canso	New Democratic Party	Nouveau Parti démocratique	Simmons	Marney Jeanne		(902) 747-2662	07-Apr-2011	07:30:00
12002	Central Nova	Nova-Centre	Green Party of Canada	Le Parti Vert du Canada	Chisholm	Matthew		(902) 872-0282	07-Apr-2011	08:48:00
12002	Central Nova	Nova-Centre	Liberal Party of Canada	Parti libéral du Canada	Hamilton	John R.		(902) 863-5462	04-Apr-2011	06:30:00
12002	Central Nova	Nova-Centre	Conservative Party of Canada	Parti conservateur du Canada	MacKay	Peter G.		(902) 752-8413	02-Apr-2011	05:56:00
12002	Central Nova	Nova-Centre	New Democratic Party	Nouveau Parti démocratique	Parker	David K.		(902) 755-1221	01-Apr-2011	08:29:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	New Democratic Party	Nouveau Parti démocratique	Chisholm	Robert		(902) 407-8886	31-Mar-2011	09:05:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Liberal Party of Canada	Parti libéral du Canada	Savage	Mike		(902) 462-6453	01-Apr-2011	06:35:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Green Party of Canada	Le Parti Vert du Canada	Shreenan	Paul		(902) 465-6895	09-Apr-2011	10:50:00
12003	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	Conservative Party of Canada	Parti conservateur du Canada	Webber	Wanda		(902) 434-4272	01-Apr-2011	08:45:00
12004	Halifax	Halifax	Green Party of Canada	Le Parti Vert du Canada	Dewar	Michael			09-Apr-2011	01:50:00
12004	Halifax	Halifax	Liberal Party of Canada	Parti libéral du Canada	Kutcher	Stan		(902) 405-4988	02-Apr-2011	02:20:00
12004	Halifax	Halifax	New Democratic Party	Nouveau Parti démocratique	Leslie	Megan		(902) 421-5777	04-Apr-2011	09:15:00
12004	Halifax	Halifax	Conservative Party of Canada	Parti conservateur du Canada	Nikolaou	George		(902) 455-8679	03-Apr-2011	12:45:00
12004	Halifax	Halifax	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Seed	Tony		(902) 477-0470	07-Apr-2011	06:12:00
12005	Halifax West	Halifax-Ouest	New Democratic Party	Nouveau Parti démocratique	Ash	Gregor		(902) 455-4637	01-Apr-2011	12:52:00
12005	Halifax West	Halifax-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Pretty	Bruce Robert		(902) 454-8679	06-Apr-2011	06:35:00
12005	Halifax West	Halifax-Ouest	Liberal Party of Canada	Parti libéral du Canada	Regan	Geoff		(902) 832-2011	01-Apr-2011	02:32:00
12005	Halifax West	Halifax-Ouest	Green Party of Canada	Le Parti Vert du Canada	Trappenberg	Thomas		(902) 850-2160	05-Apr-2011	11:12:00
12006	Kings--Hants	Kings--Hants	Liberal Party of Canada	Parti libéral du Canada	Brison	Scott		(902) 681-2480	31-Mar-2011	08:30:00
12006	Kings--Hants	Kings--Hants	Conservative Party of Canada	Parti conservateur du Canada	Morse	David		(902) 365-8679	09-Apr-2011	04:00:00
12006	Kings--Hants	Kings--Hants	Green Party of Canada	Le Parti Vert du Canada	Richardson	Sheila		(902) 542-0909	07-Apr-2011	02:20:00
12006	Kings--Hants	Kings--Hants	New Democratic Party	Nouveau Parti démocratique	Rogers	Mark		(902) 300-6275	04-Apr-2011	11:00:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Conservative Party of Canada	Parti conservateur du Canada	Armstrong	Scott		(902) 893-5570	31-Mar-2011	08:23:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Green Party of Canada	Le Parti Vert du Canada	Blanch	Jason		(902) 899-2348	31-Mar-2011	08:45:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Liberal Party of Canada	Parti libéral du Canada	Burrows	Jim		(902) 843-3909	31-Mar-2011	09:00:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Hnatiuk	Jim		(902) 259-3444	31-Mar-2011	08:39:00
12007	Cumberland--Colchester--Musquodoboit Valley	Cumberland--Colchester--Musquodoboit Valley	New Democratic Party	Nouveau Parti démocratique	Robinson	Wendy		(902) 890-4645	04-Apr-2011	01:55:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Liberal Party of Canada	Parti libéral du Canada	Hemming	Scott		(902) 252-3389	07-Apr-2011	04:26:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Conservative Party of Canada	Parti conservateur du Canada	Mimnagh	Adam		(902) 252-8683	01-Apr-2011	02:20:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	Green Party of Canada	Le Parti Vert du Canada	Percy	John		(902) 252-3995	08-Apr-2011	12:39:00
12008	Sackville--Eastern Shore	Sackville--Eastern Shore	New Democratic Party	Nouveau Parti démocratique	Stoffer	Peter			31-Mar-2011	03:14:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	New Democratic Party	Nouveau Parti démocratique	Earle	Gordon		(855) 530-3458	01-Apr-2011	09:00:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Conservative Party of Canada	Parti conservateur du Canada	Keddy	Gerald		(902) 541-1035	01-Apr-2011	12:52:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Green Party of Canada	Le Parti Vert du Canada	MacLellan	Kris		(902) 223-3004	10-Apr-2011	03:52:00
12009	South Shore--St. Margaret's	South Shore--St. Margaret's	Liberal Party of Canada	Parti libéral du Canada	Wells	Derek		(902) 456-8570	06-Apr-2011	03:00:00
12010	Sydney--Victoria	Sydney--Victoria	Conservative Party of Canada	Parti conservateur du Canada	Clarke	Cecil		(902) 564-6700	04-Apr-2011	12:14:00
12010	Sydney--Victoria	Sydney--Victoria	Liberal Party of Canada	Parti libéral du Canada	Eyking	Mark		(902) 539-8827	01-Apr-2011	05:30:00
12010	Sydney--Victoria	Sydney--Victoria	New Democratic Party	Nouveau Parti démocratique	MacLeod	Kathy		0	06-Apr-2011	10:06:00
12010	Sydney--Victoria	Sydney--Victoria	Green Party of Canada	Le Parti Vert du Canada	Milburn	Chris		(902) 270-3270	11-Apr-2011	01:30:00
12011	West Nova	Nova-Ouest	New Democratic Party	Nouveau Parti démocratique	Barron	George		(902) 308-0363	06-Apr-2011	09:30:00
12011	West Nova	Nova-Ouest	Green Party of Canada	Le Parti Vert du Canada	Johnson	Ross		(902) 769-7323	08-Apr-2011	09:34:00
12011	West Nova	Nova-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Kerr	Greg		(902) 638-8071	31-Mar-2011	11:30:00
12011	West Nova	Nova-Ouest	Liberal Party of Canada	Parti libéral du Canada	Thibault	Robert		(902) 765-2448	01-Apr-2011	09:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Liberal Party of Canada	Parti libéral du Canada	Gionet	Jean Marie		(506) 764-2722	08-Apr-2011	04:40:00
13001	Acadie--Bathurst	Acadie--Bathurst	New Democratic Party	Nouveau Parti démocratique	Godin	Yvon		(506) 548-0066	02-Apr-2011	10:30:00
13001	Acadie--Bathurst	Acadie--Bathurst	Conservative Party of Canada	Parti conservateur du Canada	Robichaud	Louis		(506) 544-0293	10-Apr-2011	02:10:40
13002	Beauséjour	Beauséjour	Green Party of Canada	Le Parti Vert du Canada	Arsenault	Natalie			11-Apr-2011	10:20:00
13002	Beauséjour	Beauséjour	Conservative Party of Canada	Parti conservateur du Canada	Chapman	Evelyne			05-Apr-2011	06:30:00
13002	Beauséjour	Beauséjour	Liberal Party of Canada	Parti libéral du Canada	LeBlanc	Dominic		(506) 533-8311	04-Apr-2011	05:30:00
13002	Beauséjour	Beauséjour	New Democratic Party	Nouveau Parti démocratique	Levi-Peters	Susan		1 888 401-3828	04-Apr-2011	10:30:00
13003	Fredericton	Fredericton	Conservative Party of Canada	Parti conservateur du Canada	Ashfield	Keith		(506) 455-2211	01-Apr-2011	04:38:00
13003	Fredericton	Fredericton	Green Party of Canada	Le Parti Vert du Canada	Comeau	Louise Anna-Marie		(506) 206-8800	03-Apr-2011	11:27:00
13003	Fredericton	Fredericton	Liberal Party of Canada	Parti libéral du Canada	McKeen	Randy		(506) 206-2496	05-Apr-2011	05:48:00
13003	Fredericton	Fredericton	Independent	Indépendant	Ness	Adam Scott			11-Apr-2011	07:30:00
13003	Fredericton	Fredericton	New Democratic Party	Nouveau Parti démocratique	Travis	Jesse		(506) 447-7389	03-Apr-2011	10:54:00
13004	Fundy Royal	Fundy Royal	Green Party of Canada	Le Parti Vert du Canada	Coburn	Stephanie		(506) 434-4567	01-Apr-2011	03:01:00
13004	Fundy Royal	Fundy Royal	Conservative Party of Canada	Parti conservateur du Canada	Moore	Rob		(506) 847-3939	05-Apr-2011	02:05:00
13004	Fundy Royal	Fundy Royal	New Democratic Party	Nouveau Parti démocratique	Pitre	Darryl		(506) 832-0004	04-Apr-2011	07:05:00
13004	Fundy Royal	Fundy Royal	Liberal Party of Canada	Parti libéral du Canada	Wilhelm	Linda		(506) 943-0400	06-Apr-2011	05:36:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Independent	Indépendant	Bérubé	Louis			11-Apr-2011	01:50:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Liberal Party of Canada	Parti libéral du Canada	D'Amours	Jean-Claude JC		(506) 353-4452	08-Apr-2011	01:40:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	New Democratic Party	Nouveau Parti démocratique	Jules	Widler			07-Apr-2011	02:50:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Green Party of Canada	Le Parti Vert du Canada	Morrison	Lynn			07-Apr-2011	02:40:00
13005	Madawaska--Restigouche	Madawaska--Restigouche	Conservative Party of Canada	Parti conservateur du Canada	Valcourt	Bernard			07-Apr-2011	09:00:00
13006	Miramichi	Miramichi	New Democratic Party	Nouveau Parti démocratique	Colford	Patrick		(506) 624-7697	06-Apr-2011	04:30:00
13006	Miramichi	Miramichi	Green Party of Canada	Le Parti Vert du Canada	Mazerolle	Ronald			01-Apr-2011	02:00:00
13006	Miramichi	Miramichi	Conservative Party of Canada	Parti conservateur du Canada	O'Neill Gordon	Tilly		(506) 773-6930	08-Apr-2011	04:00:00
13006	Miramichi	Miramichi	Liberal Party of Canada	Parti libéral du Canada	Vickers	Keith		(506) 836-1066	01-Apr-2011	03:15:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	New Democratic Party	Nouveau Parti démocratique	Gagné	Shawna		(506) 874-6371	02-Apr-2011	05:00:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Conservative Party of Canada	Parti conservateur du Canada	Goguen	Robert		(506) 382-7175	02-Apr-2011	09:15:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Liberal Party of Canada	Parti libéral du Canada	Murphy	Brian		(506) 204-7394	09-Apr-2011	10:30:00
13007	Moncton--Riverview--Dieppe	Moncton--Riverview--Dieppe	Green Party of Canada	Le Parti Vert du Canada	Steeves	Steven		(506) 851-5329	02-Apr-2011	09:15:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Farris	Jason		1 888 527-5566	06-Apr-2011	06:00:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	New Democratic Party	Nouveau Parti démocratique	Graham	Andrew		(506) 663-1387	08-Apr-2011	12:10:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Green Party of Canada	Le Parti Vert du Canada	Harvey	Janice		(506) 529-8354	01-Apr-2011	03:30:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Williamson	John		(506) 465-9000	07-Apr-2011	06:15:00
13008	New Brunswick Southwest	Nouveau-Brunswick-Sud-Ouest	Liberal Party of Canada	Parti libéral du Canada	Wilson	Kelly		(506) 755-6020	06-Apr-2011	03:30:00
13009	Saint John	Saint John	Liberal Party of Canada	Parti libéral du Canada	Chase	Stephen		(506) 642-8825	08-Apr-2011	05:40:00
13009	Saint John	Saint John	New Democratic Party	Nouveau Parti démocratique	Moir	Rob		(506) 642-2016	05-Apr-2011	04:55:00
13009	Saint John	Saint John	Green Party of Canada	Le Parti Vert du Canada	Murphy-Flatt	Sharon		(506) 639-9929	04-Apr-2011	03:25:00
13009	Saint John	Saint John	Independent	Indépendant	Watson	Arthur Jr.		(506) 642-6146	02-Apr-2011	03:35:00
13009	Saint John	Saint John	Conservative Party of Canada	Parti conservateur du Canada	Weston	Rodney		(506) 651-8683	02-Apr-2011	04:25:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Conservative Party of Canada	Parti conservateur du Canada	Allen	Mike		(855) 244-0044	08-Apr-2011	03:35:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Liberal Party of Canada	Parti libéral du Canada	Chiasson	Chuck		(855) 992-4825	04-Apr-2011	09:00:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	New Democratic Party	Nouveau Parti démocratique	Cyr	Pierre		(506) 473-3142	05-Apr-2011	01:00:00
13010	Tobique--Mactaquac	Tobique--Mactaquac	Green Party of Canada	Le Parti Vert du Canada	McGlynn	Rish		(506) 204-7293	06-Apr-2011	02:40:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Liberal Party of Canada	Parti libéral du Canada	Grenon	Suzie		(819) 279-9733	12-Apr-2011	09:36:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Conservative Party of Canada	Parti conservateur du Canada	Hébert	Steven			02-Apr-2011	05:05:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Bloc Québécois	Bloc Québécois	Lemay	Marc		(819) 797-8889	31-Mar-2011	05:00:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	New Democratic Party	Nouveau Parti démocratique	Moore	Christine		1 800 843-8598	04-Apr-2011	05:00:00
24001	Abitibi--Témiscamingue	Abitibi--Témiscamingue	Green Party of Canada	Le Parti Vert du Canada	Rochon	Patrick		0	09-Apr-2011	11:38:00
24002	Ahuntsic	Ahuntsic	Rhinoceros Party	Parti Rhinocéros	Berthiaume	Jean-Olivier			12-Apr-2011	10:15:00
24002	Ahuntsic	Ahuntsic	Liberal Party of Canada	Parti libéral du Canada	Eloyan	Noushig			01-Apr-2011	06:15:00
24002	Ahuntsic	Ahuntsic	Conservative Party of Canada	Parti conservateur du Canada	Kiryakidis	Constantin			11-Apr-2011	12:15:00
24002	Ahuntsic	Ahuntsic	Green Party of Canada	Le Parti Vert du Canada	Kouretas	Ted		(514) 336-2050	08-Apr-2011	08:35:00
24002	Ahuntsic	Ahuntsic	Bloc Québécois	Bloc Québécois	Mourani	Maria		(514) 373-3154	31-Mar-2011	07:53:00
24002	Ahuntsic	Ahuntsic	New Democratic Party	Nouveau Parti démocratique	Reeves	Chantal		(514) 590-0036	02-Apr-2011	11:30:00
24003	Alfred-Pellan	Alfred-Pellan	Bloc Québécois	Bloc Québécois	Carrier	Robert		(514) 373-3146	31-Mar-2011	04:00:00
24003	Alfred-Pellan	Alfred-Pellan	New Democratic Party	Nouveau Parti démocratique	Doré Lefebvre	Rosane		(514) 590-0036	05-Apr-2011	02:00:00
24003	Alfred-Pellan	Alfred-Pellan	Liberal Party of Canada	Parti libéral du Canada	Iacono	Angelo G.		(450) 575-0920	08-Apr-2011	12:30:00
24003	Alfred-Pellan	Alfred-Pellan	Conservative Party of Canada	Parti conservateur du Canada	Lefebvre	Pierre			07-Apr-2011	03:40:00
24003	Alfred-Pellan	Alfred-Pellan	Independent	Indépendant	Millette	Régent		(450) 663-4616	07-Apr-2011	08:40:00
24003	Alfred-Pellan	Alfred-Pellan	Green Party of Canada	Le Parti Vert du Canada	Perceval-Maxwell	Dylan		1 866 868-3447	08-Apr-2011	09:00:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Ferlatte	Christian-Simon			07-Apr-2011	11:00:00
24004	Argenteuil--Papineau--Mirabel	Argenteuil--Papineau--Mirabel	Liberal Party of Canada	Parti libéral du Canada	Fox	Daniel			30-Mar-2011	12:01:00
